# Decorations: EntityType, TextureIndex, PositionX, PositionY, ScaleNumerator, ScaleDenominator
1, 0, 0, 0, 1280, 576

# Tiles: EntityType, TextureIndex, PositionX, PositionY, ScaleNumerator, ScaleDenominator, CollisionBoxX, CollisionBoxY
0, 66, 0, 640, 80, 32, 80, 80
0, 66, 80, 640, 80, 32, 80, 80
0, 66, 160, 640, 80, 32, 80, 80
0, 66, 240, 640, 80, 32, 80, 80
0, 66, 320, 640, 80, 32, 80, 80
0, 66, 400, 640, 80, 32, 80, 80
0, 66, 480, 640, 80, 32, 80, 80
0, 66, 560, 640, 80, 32, 80, 80
0, 66, 640, 640, 80, 32, 80, 80
0, 66, 720, 640, 80, 32, 80, 80
0, 66, 800, 640, 80, 32, 80, 80
0, 66, 880, 640, 80, 32, 80, 80
0, 66, 960, 640, 80, 32, 80, 80
0, 66, 1040, 640, 80, 32, 80, 80
0, 66, 1120, 640, 80, 32, 80, 80
0, 66, 1200, 640, 80, 32, 80, 80
0, 66, 1200, 560, 80, 32, 80, 80
0, 66, 0, 560, 80, 32, 80, 80
